CITY,FUND_TYPE,AMOUNT,CITY_TARGET
ANTON,INCOME_AMT,31368.0,0
ANTON CHICO,INCOME_AMT,0.0,0
ANTONITO,INCOME_AMT,1838503.0,0
ANTRIM,INCOME_AMT,624678.0,0
ANTWERP,INCOME_AMT,908345.0,0
ANVIK,INCOME_AMT,0.0,0
ANZA,INCOME_AMT,34442204.0,0
APACHE,INCOME_AMT,504075.0,0
APACHE JCT,INCOME_AMT,23547230.0,0
APACHE JUNCTION,INCOME_AMT,50244705.0,0
APALACHICOLA,INCOME_AMT,6017285.0,0
APALACHIN,INCOME_AMT,1295754.0,0
APC,INCOME_AMT,0.0,0
APEX,INCOME_AMT,237141406.0,0
APG,INCOME_AMT,668771.0,0
APISON,INCOME_AMT,6803205.0,0
APLINGTON,INCOME_AMT,992665.0,0
APO,INCOME_AMT,2459001.0,0
APOKA,INCOME_AMT,187883.0,0
APOLLO,INCOME_AMT,8341096.0,0
APOLLO BCH,INCOME_AMT,0.0,0
APOLLO BEACH,INCOME_AMT,3872802.0,0
APOPKA,INCOME_AMT,48684481.0,0
APPACHE JUNCTION,INCOME_AMT,0.0,0
APPALACHIA,INCOME_AMT,227044.0,0
APPLE CREEK,INCOME_AMT,5600354.0,0
APPLE GROVE,INCOME_AMT,235396.0,0
APPLE RIVER,INCOME_AMT,4507768.0,0
APPLE SPRINGS,INCOME_AMT,415353.0,0
APPLE VALLEY,INCOME_AMT,1188881127.0,0
APPLEGATE,INCOME_AMT,91594.0,0
APPLETON,INCOME_AMT,1725532564.0,0
APPLETON CITY,INCOME_AMT,16378323.0,0
APPLING,INCOME_AMT,11168292.0,0
APPOMATTAX,INCOME_AMT,0.0,0
APPOMATTOX,INCOME_AMT,6557504.0,0
APROS,INCOME_AMT,0.0,0
APTOS,INCOME_AMT,120625589.0,0
APULIA STA,INCOME_AMT,0.0,0
AQUASCO,INCOME_AMT,96393.0,0
AQUASHICOLA,INCOME_AMT,262580.0,0
AQUEBOGUE,INCOME_AMT,2652929.0,0
AQUILLA,INCOME_AMT,105433.0,0
AQUINNAH,INCOME_AMT,545406.0,0
ARAB,INCOME_AMT,41558631.0,0
ARABI,INCOME_AMT,7263546.0,0
ARAGON,INCOME_AMT,0.0,0
ARANSAS PASS,INCOME_AMT,2195338.0,0
ARAPAHO,INCOME_AMT,0.0,0
ARAPAHOE,INCOME_AMT,8430980.0,0
ARARAT,INCOME_AMT,318335.0,0
ARAT,INCOME_AMT,0.0,0
ARBELA,INCOME_AMT,0.0,0
ARBIT VITAE,INCOME_AMT,0.0,0
ARBOGA,INCOME_AMT,0.0,0
ARBOLES,INCOME_AMT,235989.0,0
ARBON,INCOME_AMT,0.0,0
ARBOR VITAE,INCOME_AMT,457909.0,0
ARBUCKLE,INCOME_AMT,1022043.0,0
ARBUTUS,INCOME_AMT,151939.0,0
